Date,BROWN:open,BROWN:low,BROWN:high,BROWN:close,BROWN:volume,BROWN:average,BROWN:price_norm,BROWN:current_date,BROWN:sentiment,BROWN:volume_adi,BROWN:volume_obv,BROWN:volume_cmf,BROWN:volume_fi,BROWN:volume_em,BROWN:volume_sma_em,BROWN:volume_vpt,BROWN:volume_nvi,BROWN:volatility_atr,BROWN:volatility_bbm,BROWN:volatility_bbh,BROWN:volatility_bbl,BROWN:volatility_bbw,BROWN:volatility_bbhi,BROWN:volatility_bbli,BROWN:volatility_kcc,BROWN:volatility_kch,BROWN:volatility_kcl,BROWN:volatility_kchi,BROWN:volatility_kcli,BROWN:volatility_dcl,BROWN:volatility_dch,BROWN:volatility_dchi,BROWN:volatility_dcli,BROWN:trend_macd,BROWN:trend_macd_signal,BROWN:trend_macd_diff,BROWN:trend_ema_fast,BROWN:trend_ema_slow,BROWN:trend_adx,BROWN:trend_adx_pos,BROWN:trend_adx_neg,BROWN:trend_vortex_ind_pos,BROWN:trend_vortex_ind_neg,BROWN:trend_vortex_ind_diff,BROWN:trend_trix,BROWN:trend_mass_index,BROWN:trend_cci,BROWN:trend_dpo,BROWN:trend_kst,BROWN:trend_kst_sig,BROWN:trend_kst_diff,BROWN:trend_ichimoku_a,BROWN:trend_ichimoku_b,BROWN:trend_visual_ichimoku_a,BROWN:trend_visual_ichimoku_b,BROWN:trend_aroon_up,BROWN:trend_aroon_down,BROWN:trend_aroon_ind,BROWN:trend_psar,BROWN:trend_psar_up,BROWN:trend_psar_down,BROWN:trend_psar_up_indicator,BROWN:trend_psar_down_indicator,BROWN:momentum_rsi,BROWN:momentum_mfi,BROWN:momentum_tsi,BROWN:momentum_uo,BROWN:momentum_stoch,BROWN:momentum_stoch_signal,BROWN:momentum_wr,BROWN:momentum_ao,BROWN:momentum_kama,BROWN:momentum_roc,BROWN:others_dr,BROWN:others_dlr,BROWN:others_cr
2017-02-01,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-01,0.14559999999999998,0.0,0,,,,,9.794010237496503,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,,0.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,-13.504672084080093,,0.0
2017-02-02,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-02,-0.024139999999999984,0.0,0,,,,,0.0,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,,0.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-03,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-03,0.31981000000000004,0.0,0,,,,,0.0,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,0.68,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-04,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-04,0.12031999999999998,0.0,0,,,,,0.0,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.55,0.55,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-05,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-05,0.07042000000000001,0.0,0,,,,,0.0,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,0.68,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-06,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-06,0.4048900000000001,0.0,0,,,,,0.0,1000.0,0.0,0.68,0.68,0.68,0.0,0.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.1061696306429547,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.55,0.55,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-07,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-07,-0.02962,0.0,0,,,,,0.0,1000.0,0.0,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.0,1.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.10616963064295482,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,0.68,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-08,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-08,0.13929,0.0,0,,,,,0.0,1000.0,0.0,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.0,1.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.10616963064295482,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.55,0.55,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-09,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-09,0.11333,0.0,0,,,,,0.0,1000.0,0.0,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.0,1.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.10616963064295482,-135.04672084080096,-135.04672084080096,0.0,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.68,,0.68,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-10,0.55,0.55,0.68,0.68,0,0.0,1.0,2017-02-10,-0.11384000000000001,0.0,0,,,,,0.0,1000.0,0.12999999999999998,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.0,1.0,0.0,0.6366666666666667,0.6366666666666667,0.5066666666666667,0.0,0.0,0.68,0.68,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.10616963064295482,-135.04672084080102,-135.04672084080096,-5.684341886080802e-14,0.615,0.615,0.76359439124487,0.7529822161422709,4.0,4.0,0.0,0.55,0.55,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,0.68,,0.0,0.0,0.0
