Date,DENHAM:open,DENHAM:low,DENHAM:high,DENHAM:close,DENHAM:volume,DENHAM:average,DENHAM:price_norm,DENHAM:current_date,DENHAM:sentiment,DENHAM:volume_adi,DENHAM:volume_obv,DENHAM:volume_cmf,DENHAM:volume_fi,DENHAM:momentum_mfi,DENHAM:volume_em,DENHAM:volume_sma_em,DENHAM:volume_vpt,DENHAM:volume_nvi,DENHAM:volatility_atr,DENHAM:volatility_bbm,DENHAM:volatility_bbh,DENHAM:volatility_bbl,DENHAM:volatility_bbw,DENHAM:volatility_bbp,DENHAM:volatility_bbhi,DENHAM:volatility_bbli,DENHAM:volatility_kcc,DENHAM:volatility_kch,DENHAM:volatility_kcl,DENHAM:volatility_kcw,DENHAM:volatility_kcp,DENHAM:volatility_kchi,DENHAM:volatility_kcli,DENHAM:volatility_dcl,DENHAM:volatility_dch,DENHAM:volatility_dchi,DENHAM:volatility_dcli,DENHAM:trend_macd,DENHAM:trend_macd_signal,DENHAM:trend_macd_diff,DENHAM:trend_ema_fast,DENHAM:trend_ema_slow,DENHAM:trend_adx,DENHAM:trend_adx_pos,DENHAM:trend_adx_neg,DENHAM:trend_vortex_ind_pos,DENHAM:trend_vortex_ind_neg,DENHAM:trend_vortex_ind_diff,DENHAM:trend_trix,DENHAM:trend_mass_index,DENHAM:trend_cci,DENHAM:trend_dpo,DENHAM:trend_kst,DENHAM:trend_kst_sig,DENHAM:trend_kst_diff,DENHAM:trend_ichimoku_a,DENHAM:trend_ichimoku_b,DENHAM:trend_visual_ichimoku_a,DENHAM:trend_visual_ichimoku_b,DENHAM:trend_aroon_up,DENHAM:trend_aroon_down,DENHAM:trend_aroon_ind,DENHAM:trend_psar,DENHAM:trend_psar_up,DENHAM:trend_psar_down,DENHAM:trend_psar_up_indicator,DENHAM:trend_psar_down_indicator,DENHAM:momentum_rsi,DENHAM:momentum_tsi,DENHAM:momentum_uo,DENHAM:momentum_stoch,DENHAM:momentum_stoch_signal,DENHAM:momentum_wr,DENHAM:momentum_ao,DENHAM:momentum_kama,DENHAM:momentum_roc,DENHAM:others_dr,DENHAM:others_dlr,DENHAM:others_cr
2017-02-01,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-01,-0.025628571428571438,0.0,0,,,,,,-25.473473876675907,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,,,0.0,0.0,100.0,,,,,,0.0,,,69.42744359540798,,0.0
2017-02-02,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-02,0.028555555555555556,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-03,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-03,-0.11074999999999999,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,1.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-04,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-04,0.0,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-05,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-05,0.043675,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-06,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-06,-0.024766666666666676,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540796,694.2744359540796,0.0,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-07,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-07,0.06807,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540798,694.2744359540795,2.2737367544323206e-13,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-08,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-08,0.08778,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540798,694.2744359540795,2.2737367544323206e-13,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-09,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-09,0.03945714285714286,0.0,0,,,,,,0.0,1000.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,0.64,0.0,,0.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.2622571819425445,694.2744359540798,694.2744359540795,2.2737367544323206e-13,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-10,0.64,0.64,0.64,0.64,0,0.0,1.0,2017-02-10,0.24178000000000002,0.0,0,,,,,,0.0,1000.0,0.0,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.0,inf,1.0,0.0,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.0,inf,1.0,0.0,0.64,0.64,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,66.66666666666667,-0.2622571819425444,694.2744359540798,694.2744359540795,2.2737367544323206e-13,0.64,0.64,0.39344391244870036,0.41909712722298226,4.0,4.0,0.0,0.64,0.64,,0.0,0.0,100.0,,,,,,1.1102230246251565e-16,0.64,,0.0,0.0,0.0
