Date,DONNELLY:open,DONNELLY:low,DONNELLY:high,DONNELLY:close,DONNELLY:volume,DONNELLY:average,DONNELLY:price_norm,DONNELLY:current_date,DONNELLY:sentiment,DONNELLY:volume_adi,DONNELLY:volume_obv,DONNELLY:volume_cmf,DONNELLY:volume_fi,DONNELLY:volume_em,DONNELLY:volume_sma_em,DONNELLY:volume_vpt,DONNELLY:volume_nvi,DONNELLY:volatility_atr,DONNELLY:volatility_bbm,DONNELLY:volatility_bbh,DONNELLY:volatility_bbl,DONNELLY:volatility_bbw,DONNELLY:volatility_bbhi,DONNELLY:volatility_bbli,DONNELLY:volatility_kcc,DONNELLY:volatility_kch,DONNELLY:volatility_kcl,DONNELLY:volatility_kchi,DONNELLY:volatility_kcli,DONNELLY:volatility_dcl,DONNELLY:volatility_dch,DONNELLY:volatility_dchi,DONNELLY:volatility_dcli,DONNELLY:trend_macd,DONNELLY:trend_macd_signal,DONNELLY:trend_macd_diff,DONNELLY:trend_ema_fast,DONNELLY:trend_ema_slow,DONNELLY:trend_adx,DONNELLY:trend_adx_pos,DONNELLY:trend_adx_neg,DONNELLY:trend_vortex_ind_pos,DONNELLY:trend_vortex_ind_neg,DONNELLY:trend_vortex_ind_diff,DONNELLY:trend_trix,DONNELLY:trend_mass_index,DONNELLY:trend_cci,DONNELLY:trend_dpo,DONNELLY:trend_kst,DONNELLY:trend_kst_sig,DONNELLY:trend_kst_diff,DONNELLY:trend_ichimoku_a,DONNELLY:trend_ichimoku_b,DONNELLY:trend_visual_ichimoku_a,DONNELLY:trend_visual_ichimoku_b,DONNELLY:trend_aroon_up,DONNELLY:trend_aroon_down,DONNELLY:trend_aroon_ind,DONNELLY:trend_psar,DONNELLY:trend_psar_up,DONNELLY:trend_psar_down,DONNELLY:trend_psar_up_indicator,DONNELLY:trend_psar_down_indicator,DONNELLY:momentum_rsi,DONNELLY:momentum_mfi,DONNELLY:momentum_tsi,DONNELLY:momentum_uo,DONNELLY:momentum_stoch,DONNELLY:momentum_stoch_signal,DONNELLY:momentum_wr,DONNELLY:momentum_ao,DONNELLY:momentum_kama,DONNELLY:momentum_roc,DONNELLY:others_dr,DONNELLY:others_dlr,DONNELLY:others_cr
2017-02-01,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-01,-0.05577000000000001,-0.0,0,,,,,-342.06651571404745,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.28,,,0.0,0.0,100.0,,,,27.272727272727302,27.272727272727302,-72.7272727272727,0.0,,,-37.07768452765223,,0.0
2017-02-02,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-02,0.06913,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.28,,,0.0,0.0,100.0,,,,27.272727272727302,27.272727272727302,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-03,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-03,-0.06251999999999999,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.36,,0.36,0.0,1.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-04,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-04,0.15019,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.25,0.25,,1.0,0.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-05,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-05,0.15166,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.36,,0.36,0.0,1.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-06,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-06,-0.08506,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.18666666666666668,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.77684527652235,0.0,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.25,0.25,,1.0,0.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-07,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-07,-0.17031000000000002,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.1866666666666667,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.7768452765223,-5.684341886080802e-14,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.36,,0.36,0.0,1.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-08,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-08,-0.06793999999999999,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.1866666666666667,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.7768452765223,-5.684341886080802e-14,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.25,0.25,,1.0,0.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-09,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-09,-0.04446,-0.0,0,,,,,0.0,1000.0,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.2966666666666667,0.2966666666666667,0.1866666666666667,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.16499316005471948,-370.77684527652235,-370.7768452765223,-5.684341886080802e-14,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.36,,0.36,0.0,1.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,0.0,,,0.0,0.0,0.0
2017-02-10,0.35,0.25,0.36,0.28,0,0.0,1.0,2017-02-10,0.060939999999999994,-0.0,0,,,,,0.0,1000.0,0.10999999999999999,0.2800000000000001,0.2800000000000001,0.2800000000000001,0.0,0.0,1.0,0.29666666666666675,0.29666666666666675,0.1866666666666667,0.0,0.0,0.28,0.28,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,0.16499316005471942,-370.77684527652235,-370.7768452765223,-5.684341886080802e-14,0.305,0.305,0.44357729138166896,0.44303693570451436,4.0,4.0,0.0,0.25,0.25,,1.0,0.0,100.0,,,,27.272727272727302,27.2727272727273,-72.7272727272727,-5.551115123125783e-17,0.28,,0.0,0.0,0.0
