Date,HEINRICH:open,HEINRICH:low,HEINRICH:high,HEINRICH:close,HEINRICH:volume,HEINRICH:average,HEINRICH:price_norm,HEINRICH:current_date,HEINRICH:sentiment,HEINRICH:volume_adi,HEINRICH:volume_obv,HEINRICH:volume_cmf,HEINRICH:volume_fi,HEINRICH:momentum_mfi,HEINRICH:volume_em,HEINRICH:volume_sma_em,HEINRICH:volume_vpt,HEINRICH:volume_nvi,HEINRICH:volatility_atr,HEINRICH:volatility_bbm,HEINRICH:volatility_bbh,HEINRICH:volatility_bbl,HEINRICH:volatility_bbw,HEINRICH:volatility_bbp,HEINRICH:volatility_bbhi,HEINRICH:volatility_bbli,HEINRICH:volatility_kcc,HEINRICH:volatility_kch,HEINRICH:volatility_kcl,HEINRICH:volatility_kcw,HEINRICH:volatility_kcp,HEINRICH:volatility_kchi,HEINRICH:volatility_kcli,HEINRICH:volatility_dcl,HEINRICH:volatility_dch,HEINRICH:volatility_dchi,HEINRICH:volatility_dcli,HEINRICH:trend_macd,HEINRICH:trend_macd_signal,HEINRICH:trend_macd_diff,HEINRICH:trend_ema_fast,HEINRICH:trend_ema_slow,HEINRICH:trend_adx,HEINRICH:trend_adx_pos,HEINRICH:trend_adx_neg,HEINRICH:trend_vortex_ind_pos,HEINRICH:trend_vortex_ind_neg,HEINRICH:trend_vortex_ind_diff,HEINRICH:trend_trix,HEINRICH:trend_mass_index,HEINRICH:trend_cci,HEINRICH:trend_dpo,HEINRICH:trend_kst,HEINRICH:trend_kst_sig,HEINRICH:trend_kst_diff,HEINRICH:trend_ichimoku_a,HEINRICH:trend_ichimoku_b,HEINRICH:trend_visual_ichimoku_a,HEINRICH:trend_visual_ichimoku_b,HEINRICH:trend_aroon_up,HEINRICH:trend_aroon_down,HEINRICH:trend_aroon_ind,HEINRICH:trend_psar,HEINRICH:trend_psar_up,HEINRICH:trend_psar_down,HEINRICH:trend_psar_up_indicator,HEINRICH:trend_psar_down_indicator,HEINRICH:momentum_rsi,HEINRICH:momentum_tsi,HEINRICH:momentum_uo,HEINRICH:momentum_stoch,HEINRICH:momentum_stoch_signal,HEINRICH:momentum_wr,HEINRICH:momentum_ao,HEINRICH:momentum_kama,HEINRICH:momentum_roc,HEINRICH:others_dr,HEINRICH:others_dlr,HEINRICH:others_cr
2017-02-01,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-01,0.24840999999999996,0.0,0,,,,,,0.16141723410665898,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.80252074624076,0.0,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,,0.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,,,-14.480252074624078,,0.0
2017-02-02,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-02,0.43215000000000003,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.80252074624076,0.0,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,,0.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-03,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-03,0.03893000000000001,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.80252074624076,0.0,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,0.75,0.0,1.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-04,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-04,0.018210000000000004,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.80252074624076,0.0,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.72,0.72,,1.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-05,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-05,0.11472,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.80252074624076,0.0,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,0.75,0.0,1.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-06,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-06,0.28142000000000006,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.7399999999999999,0.77,0.71,8.108108108108118,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12699042407660743,-144.80252074624076,-144.8025207462408,2.842170943040401e-14,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.72,0.72,,1.0,0.0,100.0,,,100.0,100.0,-0.0,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-07,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-07,0.14979,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.74,0.7700000000000001,0.71,8.10810810810813,0.6666666666666654,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,0.12699042407660743,-144.80252074624076,-144.8025207462408,2.842170943040401e-14,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,0.75,0.0,1.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-08,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-08,0.20854999999999996,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.74,0.77,0.71,8.108108108108116,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-inf,0.12699042407660743,-144.80252074624076,-144.8025207462408,2.842170943040401e-14,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.72,0.72,,1.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-09,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-09,0.29741000000000006,0.0,0,,,,,,0.0,1000.0,0.0,0.75,0.75,0.75,0.0,,0.0,0.0,0.74,0.77,0.71,8.108108108108116,0.6666666666666666,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-inf,0.12699042407660743,-144.80252074624076,-144.8025207462408,2.842170943040401e-14,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.75,,0.75,0.0,1.0,100.0,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-10,0.72,0.72,0.75,0.75,0,0.0,1.0,2017-02-10,0.002109999999999995,0.0,0,,,,,,0.0,1000.0,0.030000000000000027,0.75,0.75,0.75,0.0,,0.0,0.0,0.74,0.7699999999999999,0.71,8.1081081081081,0.6666666666666679,0.0,0.0,0.75,0.75,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,0.12699042407660743,-144.8025207462407,-144.80252074624076,5.684341886080802e-14,0.735,0.735,0.8686491108071136,0.8590082079343364,4.0,4.0,0.0,0.72,0.72,,1.0,0.0,100.0,,,100.0,100.0,-0.0,0.0,0.75,,0.0,0.0,0.0
