Date,HEITKAMP:open,HEITKAMP:low,HEITKAMP:high,HEITKAMP:close,HEITKAMP:volume,HEITKAMP:average,HEITKAMP:price_norm,HEITKAMP:current_date,HEITKAMP:sentiment,HEITKAMP:volume_adi,HEITKAMP:volume_obv,HEITKAMP:volume_cmf,HEITKAMP:volume_fi,HEITKAMP:momentum_mfi,HEITKAMP:volume_em,HEITKAMP:volume_sma_em,HEITKAMP:volume_vpt,HEITKAMP:volume_nvi,HEITKAMP:volatility_atr,HEITKAMP:volatility_bbm,HEITKAMP:volatility_bbh,HEITKAMP:volatility_bbl,HEITKAMP:volatility_bbw,HEITKAMP:volatility_bbp,HEITKAMP:volatility_bbhi,HEITKAMP:volatility_bbli,HEITKAMP:volatility_kcc,HEITKAMP:volatility_kch,HEITKAMP:volatility_kcl,HEITKAMP:volatility_kcw,HEITKAMP:volatility_kcp,HEITKAMP:volatility_kchi,HEITKAMP:volatility_kcli,HEITKAMP:volatility_dcl,HEITKAMP:volatility_dch,HEITKAMP:volatility_dchi,HEITKAMP:volatility_dcli,HEITKAMP:trend_macd,HEITKAMP:trend_macd_signal,HEITKAMP:trend_macd_diff,HEITKAMP:trend_ema_fast,HEITKAMP:trend_ema_slow,HEITKAMP:trend_adx,HEITKAMP:trend_adx_pos,HEITKAMP:trend_adx_neg,HEITKAMP:trend_vortex_ind_pos,HEITKAMP:trend_vortex_ind_neg,HEITKAMP:trend_vortex_ind_diff,HEITKAMP:trend_trix,HEITKAMP:trend_mass_index,HEITKAMP:trend_cci,HEITKAMP:trend_dpo,HEITKAMP:trend_kst,HEITKAMP:trend_kst_sig,HEITKAMP:trend_kst_diff,HEITKAMP:trend_ichimoku_a,HEITKAMP:trend_ichimoku_b,HEITKAMP:trend_visual_ichimoku_a,HEITKAMP:trend_visual_ichimoku_b,HEITKAMP:trend_aroon_up,HEITKAMP:trend_aroon_down,HEITKAMP:trend_aroon_ind,HEITKAMP:trend_psar,HEITKAMP:trend_psar_up,HEITKAMP:trend_psar_down,HEITKAMP:trend_psar_up_indicator,HEITKAMP:trend_psar_down_indicator,HEITKAMP:momentum_rsi,HEITKAMP:momentum_tsi,HEITKAMP:momentum_uo,HEITKAMP:momentum_stoch,HEITKAMP:momentum_stoch_signal,HEITKAMP:momentum_wr,HEITKAMP:momentum_ao,HEITKAMP:momentum_kama,HEITKAMP:momentum_roc,HEITKAMP:others_dr,HEITKAMP:others_dlr,HEITKAMP:others_cr
2017-02-01,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-01,0.03635,0.0,0,,,,,,-76.97570931635535,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.1931489647517,0.0,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.61,,,0.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,30.219314896475158,,0.0
2017-02-02,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-02,0.08247,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.1931489647517,0.0,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.61,,,0.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-03,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-03,-0.055580000000000004,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.1931489647517,0.0,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-04,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-04,0.2118,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.1931489647517,0.0,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-05,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-05,-0.027169999999999993,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.1931489647517,0.0,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-06,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-06,0.1989888888888889,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333333,0.34333333333333327,80.23255813953489,0.5797101449275363,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.19314896475174,-5.684341886080802e-14,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-07,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-07,0.08512,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.19314896475174,-5.684341886080802e-14,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-08,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-08,0.05312,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.19314896475174,-5.684341886080802e-14,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-09,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-09,0.15872000000000003,0.0,0,,,,,,0.0,1000.0,0.0,0.61,0.61,0.61,0.0,,0.0,0.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239397,302.1931489647517,302.19314896475174,-5.684341886080802e-14,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.67,,0.67,0.0,1.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,0.0,,,0.0,0.0,0.0
2017-02-10,0.44,0.44,0.67,0.61,0,0.0,1.0,2017-02-10,0.12706,0.0,0,,,,,,0.0,1000.0,0.23000000000000004,0.6100000000000001,0.6100000000000001,0.6100000000000001,0.0,-inf,0.0,1.0,0.5733333333333334,0.8033333333333335,0.34333333333333327,80.23255813953492,0.5797101449275361,0.0,0.0,0.61,0.61,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1415595075239398,302.1931489647517,302.19314896475174,-5.684341886080802e-14,0.555,0.555,0.4647195622435021,0.48051983584131325,4.0,4.0,0.0,0.44,0.44,,1.0,0.0,100.0,,,73.91304347826086,73.91304347826086,-26.08695652173915,1.1102230246251565e-16,0.61,,0.0,0.0,0.0
