Date,HURD:open,HURD:low,HURD:high,HURD:close,HURD:volume,HURD:average,HURD:price_norm,HURD:current_date,HURD:sentiment,HURD:volume_adi,HURD:volume_obv,HURD:volume_cmf,HURD:volume_fi,HURD:momentum_mfi,HURD:volume_em,HURD:volume_sma_em,HURD:volume_vpt,HURD:volume_nvi,HURD:volatility_atr,HURD:volatility_bbm,HURD:volatility_bbh,HURD:volatility_bbl,HURD:volatility_bbw,HURD:volatility_bbp,HURD:volatility_bbhi,HURD:volatility_bbli,HURD:volatility_kcc,HURD:volatility_kch,HURD:volatility_kcl,HURD:volatility_kcw,HURD:volatility_kcp,HURD:volatility_kchi,HURD:volatility_kcli,HURD:volatility_dcl,HURD:volatility_dch,HURD:volatility_dchi,HURD:volatility_dcli,HURD:trend_macd,HURD:trend_macd_signal,HURD:trend_macd_diff,HURD:trend_ema_fast,HURD:trend_ema_slow,HURD:trend_adx,HURD:trend_adx_pos,HURD:trend_adx_neg,HURD:trend_vortex_ind_pos,HURD:trend_vortex_ind_neg,HURD:trend_vortex_ind_diff,HURD:trend_trix,HURD:trend_mass_index,HURD:trend_cci,HURD:trend_dpo,HURD:trend_kst,HURD:trend_kst_sig,HURD:trend_kst_diff,HURD:trend_ichimoku_a,HURD:trend_ichimoku_b,HURD:trend_visual_ichimoku_a,HURD:trend_visual_ichimoku_b,HURD:trend_aroon_up,HURD:trend_aroon_down,HURD:trend_aroon_ind,HURD:trend_psar,HURD:trend_psar_up,HURD:trend_psar_down,HURD:trend_psar_up_indicator,HURD:trend_psar_down_indicator,HURD:momentum_rsi,HURD:momentum_tsi,HURD:momentum_uo,HURD:momentum_stoch,HURD:momentum_stoch_signal,HURD:momentum_wr,HURD:momentum_ao,HURD:momentum_kama,HURD:momentum_roc,HURD:others_dr,HURD:others_dlr,HURD:others_cr
2017-02-01,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-01,0.2724777777777778,0.0,0,,,,,,4.482691530287357,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.3793543292737,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,,,0.0,0.0,100.0,,,,,,0.0,,,-26.737935432927372,,0.0
2017-02-02,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-02,0.13735999999999998,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.3793543292737,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-03,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-03,0.228625,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.3793543292737,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,1.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-04,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-04,0.142675,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.3793543292737,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-05,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-05,0.13641666666666666,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.3793543292737,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-06,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-06,-0.1673666666666667,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.37935432927367,-5.684341886080802e-14,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-07,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-07,0.11102000000000001,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.37935432927367,-5.684341886080802e-14,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-08,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-08,-0.37473999999999996,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.37935432927367,-5.684341886080802e-14,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-09,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-09,0.34956666666666664,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.3793543292737,-267.37935432927367,-5.684341886080802e-14,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
2017-02-10,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-10,0.2286375,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-267.37935432927367,-267.37935432927367,0.0,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,0.33,,0.0,0.0,0.0
2017-02-11,0.33,0.33,0.33,0.33,0,0.0,1.0,2017-02-11,-0.15206666666666666,0.0,0,,,,,,0.0,1000.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,0.33,0.0,,0.0,0.0,0.33,0.33,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.12043775649794797,-264.70556078598094,-267.0822661577967,2.376705371815774,0.33,0.33,0.42906292749658,0.39533515731874147,4.0,4.0,0.0,0.33,0.33,,0.0,0.0,100.0,,,,,,0.0,,,0.0,0.0,0.0
