Date,MENENDEZ:open,MENENDEZ:low,MENENDEZ:high,MENENDEZ:close,MENENDEZ:volume,MENENDEZ:average,MENENDEZ:price_norm,MENENDEZ:current_date,MENENDEZ:sentiment,MENENDEZ:volume_adi,MENENDEZ:volume_obv,MENENDEZ:volume_cmf,MENENDEZ:volume_fi,MENENDEZ:momentum_mfi,MENENDEZ:volume_em,MENENDEZ:volume_sma_em,MENENDEZ:volume_vpt,MENENDEZ:volume_nvi,MENENDEZ:volatility_atr,MENENDEZ:volatility_bbm,MENENDEZ:volatility_bbh,MENENDEZ:volatility_bbl,MENENDEZ:volatility_bbw,MENENDEZ:volatility_bbp,MENENDEZ:volatility_bbhi,MENENDEZ:volatility_bbli,MENENDEZ:volatility_kcc,MENENDEZ:volatility_kch,MENENDEZ:volatility_kcl,MENENDEZ:volatility_kcw,MENENDEZ:volatility_kcp,MENENDEZ:volatility_kchi,MENENDEZ:volatility_kcli,MENENDEZ:volatility_dcl,MENENDEZ:volatility_dch,MENENDEZ:volatility_dchi,MENENDEZ:volatility_dcli,MENENDEZ:trend_macd,MENENDEZ:trend_macd_signal,MENENDEZ:trend_macd_diff,MENENDEZ:trend_ema_fast,MENENDEZ:trend_ema_slow,MENENDEZ:trend_adx,MENENDEZ:trend_adx_pos,MENENDEZ:trend_adx_neg,MENENDEZ:trend_vortex_ind_pos,MENENDEZ:trend_vortex_ind_neg,MENENDEZ:trend_vortex_ind_diff,MENENDEZ:trend_trix,MENENDEZ:trend_mass_index,MENENDEZ:trend_cci,MENENDEZ:trend_dpo,MENENDEZ:trend_kst,MENENDEZ:trend_kst_sig,MENENDEZ:trend_kst_diff,MENENDEZ:trend_ichimoku_a,MENENDEZ:trend_ichimoku_b,MENENDEZ:trend_visual_ichimoku_a,MENENDEZ:trend_visual_ichimoku_b,MENENDEZ:trend_aroon_up,MENENDEZ:trend_aroon_down,MENENDEZ:trend_aroon_ind,MENENDEZ:trend_psar,MENENDEZ:trend_psar_up,MENENDEZ:trend_psar_down,MENENDEZ:trend_psar_up_indicator,MENENDEZ:trend_psar_down_indicator,MENENDEZ:momentum_rsi,MENENDEZ:momentum_tsi,MENENDEZ:momentum_uo,MENENDEZ:momentum_stoch,MENENDEZ:momentum_stoch_signal,MENENDEZ:momentum_wr,MENENDEZ:momentum_ao,MENENDEZ:momentum_kama,MENENDEZ:momentum_roc,MENENDEZ:others_dr,MENENDEZ:others_dlr,MENENDEZ:others_cr
2017-02-01,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-01,0.03607,-0.0,0,,,,,,33.19380431116248,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.66,,,0.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,0.0,,,-4.508748317631217,,0.0
2017-02-02,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-02,-0.033774999999999986,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.66,,,0.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,0.0,,,0.0,0.0,0.0
2017-02-03,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-03,0.011211111111111116,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,0.0,,,0.0,0.0,0.0
2017-02-04,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-04,0.0,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.65,0.65,,1.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,0.0,,,0.0,0.0,0.0
2017-02-05,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-05,0.013942857142857137,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.8400000000000001,0.56,40.0,0.35714285714285704,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,0.0,,,0.0,0.0,0.0
2017-02-06,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-06,0.23311249999999997,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.65,0.65,,1.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-07,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-07,-0.225225,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-08,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-08,0.05264444444444445,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.65,0.65,,1.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-09,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-09,-0.14876,-0.0,0,,,,,,0.0,1000.0,0.0,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.84,0.56,39.999999999999986,0.35714285714285715,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-10,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-10,0.13546249999999999,-0.0,0,,,,,,0.0,1000.0,0.14000000000000004,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.8400000000000001,0.5600000000000002,39.999999999999986,0.35714285714285676,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-45.08748317631216,-45.08748317631216,0.0,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.65,0.65,,1.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,0.66,,0.0,0.0,0.0
2017-02-11,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-11,0.09403333333333334,-0.0,0,,,,,,0.0,1000.0,0.14000000000000004,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.8400000000000001,0.5600000000000002,39.999999999999986,0.35714285714285676,0.0,0.0,0.66,0.66,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.03116279069767436,-44.636608344549046,-45.03738597278292,0.4007776282338753,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-12,0.79,0.65,0.79,0.66,0,0.0,1.0,2017-02-12,0.13775,-0.0,0,,,,,,0.0,1000.0,0.14000000000000004,0.66,0.66,0.66,0.0,,0.0,0.0,0.7000000000000001,0.8400000000000001,0.5600000000000002,39.999999999999986,0.35714285714285676,0.0,0.0,0.66,0.66,1.0,1.0,,,,0.66,,0.0,0.0,0.0,,,,,0.0,,0.0,-44.185733512785916,-44.937191565724454,0.7514580529385384,0.72,0.72,0.6913235294117647,0.6733378932968536,4.0,4.0,0.0,0.65,0.65,,1.0,0.0,100.0,,,7.142857142857149,7.142857142857149,-92.85714285714285,1.1102230246251565e-16,,,0.0,0.0,0.0
