Date,NELSON:open,NELSON:low,NELSON:high,NELSON:close,NELSON:volume,NELSON:average,NELSON:price_norm,NELSON:current_date,NELSON:sentiment,NELSON:volume_adi,NELSON:volume_obv,NELSON:volume_cmf,NELSON:volume_fi,NELSON:volume_em,NELSON:volume_sma_em,NELSON:volume_vpt,NELSON:volume_nvi,NELSON:volatility_atr,NELSON:volatility_bbm,NELSON:volatility_bbh,NELSON:volatility_bbl,NELSON:volatility_bbw,NELSON:volatility_bbhi,NELSON:volatility_bbli,NELSON:volatility_kcc,NELSON:volatility_kch,NELSON:volatility_kcl,NELSON:volatility_kchi,NELSON:volatility_kcli,NELSON:volatility_dcl,NELSON:volatility_dch,NELSON:volatility_dchi,NELSON:volatility_dcli,NELSON:trend_macd,NELSON:trend_macd_signal,NELSON:trend_macd_diff,NELSON:trend_ema_fast,NELSON:trend_ema_slow,NELSON:trend_adx,NELSON:trend_adx_pos,NELSON:trend_adx_neg,NELSON:trend_vortex_ind_pos,NELSON:trend_vortex_ind_neg,NELSON:trend_vortex_ind_diff,NELSON:trend_trix,NELSON:trend_mass_index,NELSON:trend_cci,NELSON:trend_dpo,NELSON:trend_kst,NELSON:trend_kst_sig,NELSON:trend_kst_diff,NELSON:trend_ichimoku_a,NELSON:trend_ichimoku_b,NELSON:trend_visual_ichimoku_a,NELSON:trend_visual_ichimoku_b,NELSON:trend_aroon_up,NELSON:trend_aroon_down,NELSON:trend_aroon_ind,NELSON:trend_psar,NELSON:trend_psar_up,NELSON:trend_psar_down,NELSON:trend_psar_up_indicator,NELSON:trend_psar_down_indicator,NELSON:momentum_rsi,NELSON:momentum_mfi,NELSON:momentum_tsi,NELSON:momentum_uo,NELSON:momentum_stoch,NELSON:momentum_stoch_signal,NELSON:momentum_wr,NELSON:momentum_ao,NELSON:momentum_kama,NELSON:momentum_roc,NELSON:others_dr,NELSON:others_dlr,NELSON:others_cr
2017-02-01,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-01,0.010239999999999989,-0.0,0,,,,,188.90451610427604,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.87062843847696,0.0,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,,,0.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,,,25.787062843847686,,0.0
2017-02-02,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-02,0.2545,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.87062843847696,0.0,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,,,0.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-03,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-03,0.28636000000000006,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.87062843847696,0.0,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-04,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-04,0.13012,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.87062843847696,0.0,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,0.71,,1.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-05,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-05,0.08103,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.87062843847696,0.0,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-06,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-06,0.02424,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666667,0.7366666666666667,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.1455540355677154,257.87062843847696,257.870628438477,-5.684341886080802e-14,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,0.71,,1.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-07,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-07,0.18272000000000002,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666666,0.7366666666666666,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,66.66666666666667,-0.1455540355677154,257.87062843847696,257.870628438477,-5.684341886080802e-14,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-08,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-08,-0.32609,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666666,0.7366666666666666,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,inf,-0.1455540355677154,257.87062843847696,257.870628438477,-5.684341886080802e-14,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,0.71,,1.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-09,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-09,0.009310000000000002,-0.0,0,,,,,0.0,1000.0,0.0,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666666,0.7366666666666666,0.6566666666666666,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,inf,-0.1455540355677154,257.87062843847696,257.870628438477,-5.684341886080802e-14,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.79,,0.79,0.0,1.0,100.0,,,,0.0,0.0,-100.0,0.0,,,0.0,0.0,0.0
2017-02-10,0.78,0.71,0.79,0.71,0,0.0,1.0,2017-02-10,0.3423,-0.0,0,,,,,0.0,1000.0,0.08000000000000007,0.71,0.71,0.71,0.0,0.0,0.0,0.7366666666666666,0.7366666666666666,0.6566666666666665,0.0,0.0,0.71,0.71,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,66.66666666666667,-0.1455540355677154,257.87062843847696,257.870628438477,-5.684341886080802e-14,0.75,0.75,0.5736354309165527,0.591265389876881,4.0,4.0,0.0,0.71,0.71,,1.0,0.0,100.0,,,,0.0,0.0,-100.0,0.0,0.71,,0.0,0.0,0.0
