Date,RYAN:open,RYAN:low,RYAN:high,RYAN:close,RYAN:volume,RYAN:average,RYAN:price_norm,RYAN:current_date,RYAN:sentiment,RYAN:volume_adi,RYAN:volume_obv,RYAN:volume_cmf,RYAN:volume_fi,RYAN:volume_em,RYAN:volume_sma_em,RYAN:volume_vpt,RYAN:volume_nvi,RYAN:volatility_atr,RYAN:volatility_bbm,RYAN:volatility_bbh,RYAN:volatility_bbl,RYAN:volatility_bbw,RYAN:volatility_bbhi,RYAN:volatility_bbli,RYAN:volatility_kcc,RYAN:volatility_kch,RYAN:volatility_kcl,RYAN:volatility_kchi,RYAN:volatility_kcli,RYAN:volatility_dcl,RYAN:volatility_dch,RYAN:volatility_dchi,RYAN:volatility_dcli,RYAN:trend_macd,RYAN:trend_macd_signal,RYAN:trend_macd_diff,RYAN:trend_ema_fast,RYAN:trend_ema_slow,RYAN:trend_adx,RYAN:trend_adx_pos,RYAN:trend_adx_neg,RYAN:trend_vortex_ind_pos,RYAN:trend_vortex_ind_neg,RYAN:trend_vortex_ind_diff,RYAN:trend_trix,RYAN:trend_mass_index,RYAN:trend_cci,RYAN:trend_dpo,RYAN:trend_kst,RYAN:trend_kst_sig,RYAN:trend_kst_diff,RYAN:trend_ichimoku_a,RYAN:trend_ichimoku_b,RYAN:trend_visual_ichimoku_a,RYAN:trend_visual_ichimoku_b,RYAN:trend_aroon_up,RYAN:trend_aroon_down,RYAN:trend_aroon_ind,RYAN:trend_psar,RYAN:trend_psar_up,RYAN:trend_psar_down,RYAN:trend_psar_up_indicator,RYAN:trend_psar_down_indicator,RYAN:momentum_rsi,RYAN:momentum_mfi,RYAN:momentum_tsi,RYAN:momentum_uo,RYAN:momentum_stoch,RYAN:momentum_stoch_signal,RYAN:momentum_wr,RYAN:momentum_ao,RYAN:momentum_kama,RYAN:momentum_roc,RYAN:others_dr,RYAN:others_dlr,RYAN:others_cr
2017-02-01,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-01,-0.14476,-0.0,0,,,,,-25.75761137950923,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333332,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.79,,,0.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,79.5957082879801,,0.0
2017-02-02,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-02,-0.03245,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333332,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.79,,,0.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,0.0,0.0,0.0
2017-02-03,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-03,-0.07424,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333332,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.93,,0.93,0.0,1.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,0.0,0.0,0.0
2017-02-04,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-04,-0.24805000000000002,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333332,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.69,0.69,,1.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,0.0,0.0,0.0
2017-02-05,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-05,0.035730000000000005,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333332,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.93,,0.93,0.0,1.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,0.0,0.0,0.0
2017-02-06,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-06,-0.04468,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.5633333333333334,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.69,0.69,,1.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,0.0,,,0.0,0.0,0.0
2017-02-07,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-07,-0.1122,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333335,0.8033333333333335,0.5633333333333334,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,-0.3501231190150479,795.957082879801,795.9570828798011,-1.1368683772161603e-13,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.93,,0.93,0.0,1.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-08,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-08,0.07635,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333335,0.8033333333333335,0.5633333333333334,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-inf,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.69,0.69,,1.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-09,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-09,-0.15601,-0.0,0,,,,,0.0,1000.0,0.0,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333335,0.8033333333333335,0.5633333333333334,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-inf,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.93,,0.93,0.0,1.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-10,0.69,0.69,0.93,0.79,0,0.0,1.0,2017-02-10,0.17113,-0.0,0,,,,,0.0,1000.0,0.24000000000000013,0.79,0.79,0.79,0.0,0.0,0.0,0.8033333333333335,0.8033333333333335,0.5633333333333334,0.0,0.0,0.79,0.79,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-inf,-0.3501231190150479,795.957082879801,795.957082879801,0.0,0.81,0.81,0.4550376196990425,0.4714295485636116,4.0,4.0,0.0,0.69,0.69,,1.0,0.0,100.0,,,,41.666666666666686,41.666666666666686,-58.333333333333314,-1.1102230246251565e-16,0.79,,0.0,0.0,0.0
