Date,STABENOW:open,STABENOW:low,STABENOW:high,STABENOW:close,STABENOW:volume,STABENOW:average,STABENOW:price_norm,STABENOW:current_date,STABENOW:sentiment,STABENOW:volume_adi,STABENOW:volume_obv,STABENOW:volume_cmf,STABENOW:volume_fi,STABENOW:volume_em,STABENOW:volume_sma_em,STABENOW:volume_vpt,STABENOW:volume_nvi,STABENOW:volatility_atr,STABENOW:volatility_bbm,STABENOW:volatility_bbh,STABENOW:volatility_bbl,STABENOW:volatility_bbw,STABENOW:volatility_bbhi,STABENOW:volatility_bbli,STABENOW:volatility_kcc,STABENOW:volatility_kch,STABENOW:volatility_kcl,STABENOW:volatility_kchi,STABENOW:volatility_kcli,STABENOW:volatility_dcl,STABENOW:volatility_dch,STABENOW:volatility_dchi,STABENOW:volatility_dcli,STABENOW:trend_macd,STABENOW:trend_macd_signal,STABENOW:trend_macd_diff,STABENOW:trend_ema_fast,STABENOW:trend_ema_slow,STABENOW:trend_adx,STABENOW:trend_adx_pos,STABENOW:trend_adx_neg,STABENOW:trend_vortex_ind_pos,STABENOW:trend_vortex_ind_neg,STABENOW:trend_vortex_ind_diff,STABENOW:trend_trix,STABENOW:trend_mass_index,STABENOW:trend_cci,STABENOW:trend_dpo,STABENOW:trend_kst,STABENOW:trend_kst_sig,STABENOW:trend_kst_diff,STABENOW:trend_ichimoku_a,STABENOW:trend_ichimoku_b,STABENOW:trend_visual_ichimoku_a,STABENOW:trend_visual_ichimoku_b,STABENOW:trend_aroon_up,STABENOW:trend_aroon_down,STABENOW:trend_aroon_ind,STABENOW:trend_psar,STABENOW:trend_psar_up,STABENOW:trend_psar_down,STABENOW:trend_psar_up_indicator,STABENOW:trend_psar_down_indicator,STABENOW:momentum_rsi,STABENOW:momentum_mfi,STABENOW:momentum_tsi,STABENOW:momentum_uo,STABENOW:momentum_stoch,STABENOW:momentum_stoch_signal,STABENOW:momentum_wr,STABENOW:momentum_ao,STABENOW:momentum_kama,STABENOW:momentum_roc,STABENOW:others_dr,STABENOW:others_dlr,STABENOW:others_cr
2017-02-01,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-01,0.09579000000000001,0.0,0,,,,,50.55333935801327,1000.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675613,-29.490349668917926,-29.490349668917926,0.0,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,,0.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,-2.949034966891795,,0.0
2017-02-02,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-02,-0.010529999999999994,0.0,0,,,,,0.0,1000.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675613,-29.490349668917926,-29.490349668917926,0.0,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,,0.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-03,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-03,-0.045540000000000004,0.0,0,,,,,0.0,1000.0,0.0,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675502,-29.490349668917933,-29.49034966891793,-3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-04,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-04,0.12835,0.0,0,,,,,0.0,1000.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675613,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-05,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-05,-0.03381428571428573,0.0,0,,,,,0.0,1000.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675613,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-06,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-06,0.08574000000000001,0.0,0,,,,,0.0,1000.0,0.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-07,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-07,0.09525999999999998,0.0,0,,,,,0.0,1000.0,0.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-08,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-08,0.1412,0.0,0,,,,,0.0,1000.0,0.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-09,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-09,0.11491428571428575,0.0,0,,,,,0.0,1000.0,0.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,,0.0,0.0,0.0
2017-02-10,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-10,0.10812000000000002,0.0,0,,,,,0.0,1000.0,0.3,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.490349668917926,-29.49034966891793,3.552713678800501e-15,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,0.8,,0.0,0.0,0.0
2017-02-11,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-11,0.09135,0.0,0,,,,,0.0,1000.0,0.3,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.024309165526675725,-29.195446172228745,-29.457582613730242,0.2621364415014966,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-12,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-12,0.24538000000000001,0.0,0,,,,,0.0,1000.0,0.3,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.0,1.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,,,,,0.0,,1.1102230246251565e-16,-28.90054267553957,-29.392048503354868,0.49150582781529906,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,,0.0,0.0,0.0
2017-02-13,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-13,0.1087,0.0,0,,,,,0.0,1000.0,0.3,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,,,,,0.0,66.66666666666667,0.0,-28.60563917885039,-29.293747337791803,0.6881081589414144,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-14,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-14,0.12603,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8,0.8,0.8,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,0.9232278810998812,0.9232278810998812,0.0,,0.0,66.66666666666667,0.0,-28.310735682161216,-29.162679117041062,0.8519434348798463,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-15,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-15,0.15974,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,66.66666666666667,-1.1102230246251565e-16,-28.015832185472036,-28.99884384110263,0.9830116556305946,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-16,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-16,0.15564,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,inf,-1.1102230246251565e-16,-27.1311216954045,-28.736707399601137,1.6055857041966384,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-17,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-17,0.2714,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,inf,-1.1102230246251565e-16,-26.246411205336962,-28.376269792536586,2.1298585871996245,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-18,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-18,0.10607,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,200.0,-2.220446049250313e-16,-25.36170071526942,-27.917531019908974,2.555830304639553,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-19,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-19,-0.27484000000000003,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,3.0,200.0,-2.220446049250313e-16,-24.476990225201884,-27.3604910817183,2.8835008565164166,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-20,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-20,0.07516666666666666,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,4.0,200.0,-1.1102230246251565e-16,-23.592279735134344,-26.737917033152257,3.1456372980179133,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-21,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-21,-0.08147777777777777,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,5.0,200.0,-1.1102230246251565e-16,-22.117762251688447,-25.984274763835465,3.8665125121470183,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-22,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-22,0.06007499999999999,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,6.0,200.0,-1.1102230246251565e-16,-20.643244768242553,-25.099564273767925,4.4563195055253715,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-23,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-23,-0.18548,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,7.0,200.0,-1.1102230246251565e-16,-19.168727284796656,-24.083785562949643,4.915058278152987,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-24,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-24,0.100075,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,8.0,200.0,-1.1102230246251565e-16,-17.69420980135076,-22.936938631380613,5.242728830029854,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-02-25,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-25,0.05741428571428571,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,,,,0.8,,0.0,0.0,0.0,1.0,1.0,0.0,,9.0,200.0,-1.1102230246251565e-16,-16.21969231790486,-21.72455758943621,5.504865271531347,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-26,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-26,-0.32926666666666665,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,0.0,0.0,0.0,1.0,1.0,0.0,,10.0,200.0,-1.1102230246251565e-16,-15.334981827837325,-20.512176547491805,5.17719471965448,0.65,0.65,0.7717681258549933,0.7434541723666211,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,-1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-02-27,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-27,0.03394999999999998,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,0.0,0.0,0.0,1.0,1.0,0.0,,11.0,200.0,-1.1102230246251565e-16,-14.450271337769788,-19.2997955055474,4.849524167777613,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,,100.0,100.0,-0.0,0.0,,0.0,0.0,0.0,0.0
2017-02-28,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-02-28,0.12023999999999999,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,12.0,200.0,-1.1102230246251565e-16,-13.56556084770225,-18.087414463602997,4.521853615900747,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,,100.0,100.0,-0.0,0.0,,0.0,0.0,0.0,0.0
2017-03-01,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-01,-0.16368,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,13.0,200.0,-1.1102230246251565e-16,-12.680850357634712,-16.87503342165859,4.194183064023877,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,100.0,100.0,100.0,-0.0,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-03-02,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-02,-0.08485000000000001,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,14.0,200.0,-1.1102230246251565e-16,-11.796139867567174,-15.728186490089561,3.932046622522387,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,100.0,100.0,100.0,-0.0,1.1102230246251565e-16,,0.0,0.0,0.0,0.0
2017-03-03,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-03,-0.09573333333333332,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,15.0,200.0,-1.1102230246251565e-16,-11.009730543062695,-14.65779602062513,3.648065477562435,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,100.0,100.0,100.0,-0.0,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-04,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-04,-0.28721428571428576,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,16.0,200.0,-1.1102230246251565e-16,-10.223321218558217,-13.663862013265303,3.4405407947070863,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,100.0,100.0,100.0,-0.0,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-05,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-05,0.4221,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,,,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,17.0,200.0,-1.1102230246251565e-16,-9.436911894053738,-12.74638446801008,3.3094725739563415,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,100.0,100.0,100.0,-0.0,2.220446049250313e-16,,0.0,0.0,0.0,0.0
2017-03-06,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-06,-0.05845714285714285,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,18.0,200.0,-1.1102230246251565e-16,-8.650502569549259,-11.905363384859458,3.2548608153101988,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,100.0,100.0,100.0,-0.0,3.3306690738754696e-16,,0.0,0.0,0.0,0.0
2017-03-07,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-07,0.23599,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,19.0,200.0,-1.1102230246251565e-16,-7.8640932450447805,-11.075264653438063,3.211171408393283,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.8,,0.8,0.0,1.0,100.0,,,100.0,100.0,100.0,-0.0,3.3306690738754696e-16,,0.0,0.0,0.0,0.0
2017-03-08,0.5,0.5,0.8,0.8,0,0.0,1.0,2017-03-08,-0.107025,0.0,0,,0.0,,,0.0,1000.0,0.3,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,0.0,1.0,0.7000000000000001,0.7000000000000001,0.39999999999999997,0.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.8,0.8,,0.0,0.0,1.0,1.0,0.0,,20.0,200.0,-1.1102230246251565e-16,-7.077683920540302,-10.256088273745899,3.1784043532055968,0.65,0.65,0.65,0.65,4.0,4.0,0.0,0.5,0.5,,1.0,0.0,100.0,,,100.0,100.0,100.0,-0.0,3.3306690738754696e-16,,0.0,0.0,0.0,0.0
