Date,WARREN:open,WARREN:low,WARREN:high,WARREN:close,WARREN:volume,WARREN:average,WARREN:price_norm,WARREN:current_date,WARREN:sentiment,WARREN:volume_adi,WARREN:volume_obv,WARREN:volume_cmf,WARREN:volume_fi,WARREN:volume_em,WARREN:volume_sma_em,WARREN:volume_vpt,WARREN:volume_nvi,WARREN:volatility_atr,WARREN:volatility_bbm,WARREN:volatility_bbh,WARREN:volatility_bbl,WARREN:volatility_bbw,WARREN:volatility_bbhi,WARREN:volatility_bbli,WARREN:volatility_kcc,WARREN:volatility_kch,WARREN:volatility_kcl,WARREN:volatility_kchi,WARREN:volatility_kcli,WARREN:volatility_dcl,WARREN:volatility_dch,WARREN:volatility_dchi,WARREN:volatility_dcli,WARREN:trend_macd,WARREN:trend_macd_signal,WARREN:trend_macd_diff,WARREN:trend_ema_fast,WARREN:trend_ema_slow,WARREN:trend_adx,WARREN:trend_adx_pos,WARREN:trend_adx_neg,WARREN:trend_vortex_ind_pos,WARREN:trend_vortex_ind_neg,WARREN:trend_vortex_ind_diff,WARREN:trend_trix,WARREN:trend_mass_index,WARREN:trend_cci,WARREN:trend_dpo,WARREN:trend_kst,WARREN:trend_kst_sig,WARREN:trend_kst_diff,WARREN:trend_ichimoku_a,WARREN:trend_ichimoku_b,WARREN:trend_visual_ichimoku_a,WARREN:trend_visual_ichimoku_b,WARREN:trend_aroon_up,WARREN:trend_aroon_down,WARREN:trend_aroon_ind,WARREN:trend_psar,WARREN:trend_psar_up,WARREN:trend_psar_down,WARREN:trend_psar_up_indicator,WARREN:trend_psar_down_indicator,WARREN:momentum_rsi,WARREN:momentum_mfi,WARREN:momentum_tsi,WARREN:momentum_uo,WARREN:momentum_stoch,WARREN:momentum_stoch_signal,WARREN:momentum_wr,WARREN:momentum_ao,WARREN:momentum_kama,WARREN:momentum_roc,WARREN:others_dr,WARREN:others_dlr,WARREN:others_cr
2017-02-01,0.81,0.79,0.82,0.8,768,0.8067,0.9876543209876543,2017-02-01,0.04693000000000001,-255.99999999999812,768,-0.3333333333333309,,,,-87.20503336338142,1000.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.8033333333333333,0.8033333333333333,0.7733333333333334,0.0,0.0,0.8,0.8,1.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,,0.10310533515731868,-114.16756290046497,-114.16756290046497,0.0,0.8049999999999999,0.8049999999999999,0.8976094391244869,0.8879890560875513,4.0,4.0,0.0,0.8,,,0.0,0.0,100.0,,,,33.33333333333346,33.33333333333346,-66.66666666666654,0.0,,,-11.416756290046493,,0.0
2017-02-02,0.8,0.79,0.8,0.79,50,0.7996,0.9875,2017-02-02,0.05167000000000001,-305.9999999999981,718,-0.3740831295843498,,-199.99999999999926,-199.99999999999926,-88.30568830755709,987.5,0.0,0.795,0.805,0.785,0.020000000000000018,0.0,0.0,0.7983333333333333,0.7983333333333333,0.7783333333333333,0.0,0.0,0.79,0.8,0.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,0.10810533515731868,-119.70401563233706,-116.93578926640102,-2.7682263659360444,0.8049999999999999,0.8049999999999999,0.8976094391244869,0.8879890560875513,4.0,8.0,-4.0,0.79,,,0.0,0.0,0.0,,-100.0,,0.0,16.66666666666673,-100.0,0.0,,,-1.2499999999999956,-1.2578782206860124,-1.2499999999999956
2017-02-03,0.79,0.78,0.8,0.78,592,0.7813,0.9873417721518988,2017-02-03,0.07867999999999999,-897.9999999999982,126,-0.6368794326241122,,-16.891891891891923,-108.4459459459456,-8.118670886075956,987.5,0.0,0.79,0.8063299316185546,0.7736700683814455,0.03265986323710912,0.0,0.0,0.7944444444444444,0.7944444444444444,0.7744444444444444,0.0,0.0,0.78,0.8,0.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-87.49999999999922,0.11310533515731869,-125.24046836420916,-119.70401563233706,-5.536452731872103,0.8,0.8,0.8976094391244869,0.8879890560875513,4.0,12.0,-8.0,0.82,,0.82,0.0,1.0,0.0,,-100.0,,0.0,11.111111111111152,-100.0,0.0,,,-1.2658227848101222,-1.2739025777429775,-2.500000000000002
2017-02-04,0.78,0.78,0.79,0.79,10,0.79,1.0128205128205128,2017-02-04,0.14821999999999996,-887.9999999999982,136,-0.6253521126760551,,-500.0000000000009,-238.96396396396403,-7.365465757870827,1000.1602564102564,0.0,0.79,0.804142135623731,0.775857864376269,0.028284271247462023,0.0,0.0,0.7925,0.7925,0.775,0.0,0.0,0.78,0.8,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666603,0.11310533515731869,-125.24046836420916,-121.08812881530508,-4.152339548904081,0.8,0.8,0.8976094391244869,0.8879890560875513,4.0,12.0,-8.0,0.8191999999999999,,0.8191999999999999,0.0,0.0,35.831809872029254,,-97.80219780219782,,25.00000000000007,8.333333333333357,-74.99999999999993,0.0,,,1.2820512820512775,1.2739025777429775,-1.2499999999999956
2017-02-05,0.79,0.79,0.8,0.8,6,0.795,1.0126582278481013,2017-02-05,-0.01525999999999999,-881.9999999999982,142,-0.6185133239831684,,1666.6666666666697,237.4436936936944,0.20415449529373597,1012.8205128205128,0.0,0.792,0.8069666295470959,0.7770333704529042,0.029933259094191644,0.0,0.0,0.7933333333333333,0.7933333333333333,0.7773333333333333,0.0,0.0,0.78,0.8,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,41.6666666666677,0.11110533515731869,-123.0258872714603,-121.47568050653612,-1.5502067649241837,0.8,0.8,0.8976094391244869,0.8879890560875513,4.0,12.0,-8.0,0.8184159999999999,,0.8184159999999999,0.0,0.0,53.698630136986296,,-93.88962685665985,,50.00000000000014,25.00000000000007,-49.99999999999986,0.0,,,1.2658227848101333,1.2578782206860124,0.0
2017-02-06,0.8,0.77,0.8,0.79,1188,0.7791,0.9875,2017-02-06,-0.08215000000000001,-485.9999999999982,-1046,-0.1859219586840085,,-25.252525252525295,184.90444990445047,-14.774050632911406,1012.8205128205128,0.0,0.7916666666666666,0.8054103520853921,0.7779229812479411,0.02748737083745101,0.0,0.0,0.7922222222222223,0.7922222222222223,0.773888888888889,0.0,0.0,0.78,0.8,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-66.66666666666667,0.11143866849065209,-123.39498412025178,-121.79556444215541,-1.5994196780963676,0.7949999999999999,0.7949999999999999,0.8976094391244869,0.8879890560875513,4.0,12.0,-8.0,0.8176476799999999,,0.8176476799999999,0.0,0.0,41.311227339053985,,-90.86111328594124,,40.00000000000009,38.333333333333435,-59.99999999999991,-0.0024999999999999467,,,-1.2499999999999956,-1.2578782206860124,-1.2499999999999956
2017-02-07,0.79,0.75,0.8,0.75,2395,0.7681,0.9493670886075949,2017-02-07,0.21237,-2880.999999999998,-3441,-0.5751647035336391,,-20.87682672233824,150.60757046665233,-136.11582278481023,1012.8205128205128,0.0,0.7857142857142857,0.8175300820733145,0.7538984893552569,0.06363159271805752,0.0,1.0,0.7885714285714286,0.7885714285714286,0.7657142857142858,0.0,1.0,0.75,0.8,0.0,1.0,,,,,,0.0,0.0,0.0,,,,,0.0,-185.05747126436862,0.11739104944303302,-129.98599927724234,-122.96562656145355,-7.020372715788795,0.7849999999999999,0.7849999999999999,0.8976094391244869,0.8879890560875513,4.0,28.000000000000004,-24.000000000000004,0.8157417727999999,,0.8157417727999999,0.0,0.0,20.72073136572247,,-88.9302895600316,,0.0,30.00000000000008,-100.0,-0.0039999999999998925,,,-5.063291139240511,-5.195973893071107,-6.25
2017-02-08,0.75,0.75,0.78,0.77,114,0.7726,1.0266666666666666,2017-02-08,-0.009550000000000003,-2842.999999999998,-3327,-0.5549482724965836,,-263.1578947368426,91.49821829472451,-118.22582278481022,1039.8290598290598,0.0,0.78375,0.8152738005322963,0.7522261994677036,0.06304760106459262,0.0,0.0,0.7858333333333334,0.7858333333333334,0.7620833333333333,0.0,0.0,0.75,0.8,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-133.3333333333337,0.11935533515731878,-132.16103427904926,-124.11505252615302,-8.045981752896239,0.7849999999999999,0.7849999999999999,0.8976094391244869,0.8879890560875513,4.0,28.000000000000004,-24.000000000000004,0.8117972664319999,,0.8117972664319999,0.0,0.0,37.495748012506276,,-83.62027942771216,,28.571428571428616,22.857142857142904,-71.42857142857137,-0.005874999999999964,,,2.6666666666666616,2.6317308317373387,-3.749999999999998
2017-02-09,0.77,0.76,0.78,0.76,560,0.7655,0.987012987012987,2017-02-09,-0.015220000000000001,-3402.999999999998,-3887,-0.598803448882632,,17.85714285714289,82.2930838650268,-4.232727272727276,1039.8290598290598,0.0,0.7811111111111111,0.814370287882435,0.7478519343397871,0.0665183535426479,0.0,0.0,0.7837037037037038,0.7837037037037038,0.7603703703703704,0.0,1.0,0.75,0.8,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-100.00000000000065,0.12199422404620763,-135.08305099864845,-125.33371902309698,-9.74933197555147,0.7849999999999999,0.7849999999999999,0.8976094391244869,0.8879890560875513,4.0,28.000000000000004,-24.000000000000004,0.80808943044608,,0.80808943044608,0.0,0.0,33.660617949112265,,-79.83157658743409,,14.285714285714308,14.285714285714308,-85.7142857142857,-0.006999999999999784,,,-1.2987012987012991,-1.307208156735279,-5.000000000000004
2017-02-10,0.76,0.76,0.78,0.76,151,0.7625,1.0,2017-02-10,0.1102,-3553.999999999998,-3736,-0.6091875214261224,,0.0,73.14940788002383,-7.272727272727279,1039.8290598290598,0.02300000000000001,0.7789999999999999,0.813,0.7449999999999999,0.06800000000000006,0.0,0.0,0.782,0.782,0.7590000000000001,0.0,0.0,0.75,0.8,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,-83.33333333333348,0.12410533515731881,-137.42066437432777,-127.91739696463729,-9.50326740969048,0.78,0.7849999999999999,0.8976094391244869,0.8879890560875513,4.0,28.000000000000004,-24.000000000000004,0.8046040646193151,,0.8046040646193151,0.0,0.0,33.660617949112265,,-76.93830013004604,,14.285714285714308,19.047619047619076,-85.7142857142857,-0.010499999999999843,0.76,,0.0,0.0,-5.000000000000004
